product_name,price,number_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating,amazon_category_and_sub_category,description,description length,category
Hornby 2014 Catalogue,3.42,5,15,1,4.9,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Product Description Hornby 2014 Catalogue Box Contains 1 x one catalogue,72,Hobbies 
CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,9.99,2,17,2,3.9,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"BIG CLASSIC TOY TRAIN SET TRACK CARRIAGE LIGHT ENGINE SOUND BOXED KIDS BATTERY Railway Train Set with Light Sound, Big Size Curved Track Free Wheeling Action Working Headlight Sound Horn The Track Can Also Be Assembled In More Layouts Length Of Track 104 cm WIDTH OF THE TRACK 68 CM Finely Detailed Realistic Toy Train REQUIRES 2 AA BATTERIES (NOT INCLUDED)",357,Hobbies 
Hornby Santa's Express Train Set,69.93,3,36,7,4.3,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Product Description Inject a bit of Hornby magic into Christmas with the special Santa's Express Train Set. The set includes everything you need to get started, including Santa's festive train, an oval track, power transformer and mat. Whether this is your first train set, or you're a seasoned modeller, Santa's Express will delight young and old alike and is sure to become a festive favourite. - for a spectacular Christmas decoration, build the set around the base of your Christmas tree or use as a moving table centre! - add some Christmas cheer to your existing model railwaySanta's special train includes his very own steam engine, a wagon full of presents and a closed van in which he keeps his reindeer. The spritely little engine, in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set. Additional track packs can be obtained to make the layout larger and even more exciting, and there is even a Hornby MidiMat included so you can see how Santa's Special train set can grow and grow into a truly exciting model railway. Contents: -Santa's Express 0-4-0 locomotive -7 Plank Open Wagon (with lots of presents!) -Reindeer Box Van -3rd Radius Starter Oval -Power Track and Track Straight -R8250 Train Controller -P9000 Transformer -Hornby MidiMat (1600 x 1180mm) This item will be supplied with a UK transformer Box Contains 1x Santa's Express 0-4-0 locomotive 7x Plank Open Wagon 1x Reindeer Box Van 1x 3rd Radius Starter Oval 1x Power Track and Track Straight 1xR8250 Train Controller 1x P9000 Transformer 1x Hornby MidiMat (1600 x 1180mm)",1619,Hobbies 
Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,235.58,4,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Western Express Digital Train Set with eLink and TTS sound loco Set Hornby R1184,80,Hobbies 
Hornby Gauge Railroad Mosley Tarmacadam Locomotive,27.49,6,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Product Description RailRoad 0-4-0 'Hogarth Stone' Ex-SR Box Contains 1x Locomotive,83,Hobbies 
Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,9.6,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): OO Scale,45,Hobbies 
Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,119.5,2,3,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Product Description Hornby Weathered DCC Ready 00 Gauge Paviland Grange steam locomotive train model. Its features: Sprung buffers, sliding cab roof hatch, NEM couplings, tender detail. Class: grange, designer: C.B. collett, entered service: 1936, number built: 80, purpose: mixed traffic, wheel configuration: 4-6-0, length: 253mm, motor: 5 pole skew wound. loco drive, DCC ready, livery: BR (late), finish: heavily weathered Box Contains 1x Train Model",454,Hobbies 
Kumoyuni 74-0 Shonan Color (Model Train),17.08,26,1,1,4.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Japanese toys,13,Hobbies 
Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,96.05,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): OO Scale,45,Hobbies 
Preiser 30414 Horse Drawn Liquid Manure Wagon,24.5,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): HO Scale,45,Hobbies 
Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),12.87,37,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Batteries sold separately: C x 1Rail is NOT included.,53,Hobbies 
Plarail - AS-07 Shinkansen Series 700 (Model Train),14.44,35,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Batteries sold separately: AAA x 1,34,Hobbies 
Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,139.95,3,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): OO Scale,45,Hobbies 
Faller 140322,25.5,4,1,1,4.0,Hobbies > Model Trains & Railway Sets > Accessories > Recreational Activities,Suitable for the following scale(s): HO ScaleEra IV,51,Hobbies 
Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,99.95,2,2,1,4.5,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,Suitable for the following scale(s): OO ScaleDetails:DCC Type: 8 Pin DCC ReadyLivery: BR Black L/CrestClass: FairburnEra: 5 (1957 - 1966)Purpose: FreightWheel Configuration: 2-6-4Finish: Pristine,195,Hobbies 
Alps Glacier Express (Add-On 4-Car Set) (Model Train),49.33,22,2,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Suitable for the following scale(s): N Scale,44,Hobbies 
Hornby Gloucester City Pullman Train Set,82.31,11,19,1,4.2,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Product Description Hornby R1177 ""00"" Scale Gloucester City Pullman Train Set Box Contains 1x Duke of gloucester train, 3 Cars, oval of track, wall plug transformer, power track, train controller and MidiMat",207,Hobbies 
Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,69.99,11,17,1,4.8,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,"Product Description The LNER Class A3 Pacific locomotive No. 4472 Flying Scotsman (originally No. 1472) was built in 1923 for the London and North Eastern Railway (LNER) at Doncaster Works to a design of H.N. Gresley. It was employed on long-distance express trains on the LNER and its successors, British Railways Eastern and North-Eastern Regions, notably on the 10am London to Edinburgh Flying Scotsman service after which it was named. In its career 4472 Flying Scotsman has covered more than 2,000,000 miles (3,200,000 km).Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This DCC Ready locomotive is compatible with analogue train layouts, but can easily be converted for use on a DCC (digital) layout. This loco is 'DCC Ready', meaning they feature a special socket ready to receive a DCC Decoder. To convert this locomotive for use on a DCC layout one of the following digital decoder chips are required; R8245 Sapphire Decoder or R8249 V1 3 NMRA Loco Decoder. Once this decoder is fitted it is ready to use on a DCC layout. Box Contains 1 x locomotive",2250,Hobbies 
Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),50.81,16,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,Japanese toys,13,Hobbies 
Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,14.99,2,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"Dapol OO Gauge Stanier 57ft non corridor brake coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960's. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980's. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS.",1681,Hobbies 
S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),11.58,31,1,1,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,EF66 is a direct current electric locomotive manufacturing was started from 1968. I have updated the image of the new coating machine which appeared from 2004 in this product. It is not attached Age rail: 3 years old or older use battery: 1 AA batteries 2 x (sold separately),275,Hobbies 
